id,user_name,license,image_url,latitude,longitude,place_county_name,place_state_name,scientific_name,common_name
98849365,Nodora L. Moyano,CC-BY-NC-SA,https://inaturalist-open-data.s3.amazonaws.com/photos/164670309/medium.jpg,-33.4945866667,-70.9019616667,Maipo,Región Metropolitana de Santiago,Cistanthe grandiflora,Pata de guanaco
99242940,Erika Salazar,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/165398509/medium.jpeg,-34.06056,-70.9952333333,Cachapoal,Libertador General Bernardo O'Higgins,Cistanthe grandiflora,Pata de guanaco
99332923,Catalina C,,https://static.inaturalist.org/photos/165565676/medium.jpeg,-27.0035076139,-70.7891387939,Copiapó,Atacama,Cistanthe grandiflora,Pata de guanaco
99406997,Francisco E. Fonturbel,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/165701662/medium.jpg,-32.961545,-71.52278,Valparaíso,Valparaíso,Cistanthe grandiflora,Pata de guanaco
99675245,Yerko Morales,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/166211562/medium.jpeg,-33.725647,-70.4839939722,Cordillera,Región Metropolitana de Santiago,Cistanthe grandiflora,Pata de guanaco
99813811,Ciro Suárez,,https://static.inaturalist.org/photos/166474228/medium.jpeg,-32.8313166667,-71.1062083333,Quillota,Valparaíso,Cistanthe grandiflora,Pata de guanaco
99814144,Pamela Morales,,https://static.inaturalist.org/photos/166474970/medium.jpeg,-33.5798189183,-70.5031648278,Cordillera,Región Metropolitana de Santiago,Cistanthe grandiflora,Pata de guanaco
99901244,Ben Lyle Bedard,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/166641532/medium.jpg,-30.651955,-71.6731716667,Limarí,Coquimbo,Cistanthe grandiflora,Pata de guanaco
99998116,,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/166831920/medium.jpeg,-33.4312216898,-71.6976805776,San Antonio,Valparaíso,Cistanthe grandiflora,Pata de guanaco
100235035,Valentina,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/167264848/medium.jpg,-33.1360216919,-70.7574624181,Chacabuco,Región Metropolitana de Santiago,Cistanthe grandiflora,Pata de guanaco
100558001,Isidora Huerta,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/167852115/medium.jpeg,-34.3884602441,-70.7664632052,Cachapoal,Libertador General Bernardo O'Higgins,Cistanthe grandiflora,Pata de guanaco
100637799,Matias Thiele,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/167994943/medium.jpeg,-33.3358192222,-70.5196151667,Santiago,Región Metropolitana de Santiago,Cistanthe grandiflora,Pata de guanaco
100709245,Cesar Ormazabal,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/168108932/medium.jpeg,-33.664646004,-70.3565060611,Cordillera,Región Metropolitana de Santiago,Cistanthe grandiflora,Pata de guanaco
100709249,Cesar Ormazabal,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/168108947/medium.jpeg,-33.6647085109,-70.3565382476,Cordillera,Región Metropolitana de Santiago,Cistanthe grandiflora,Pata de guanaco
100709250,Cesar Ormazabal,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/168108952/medium.jpeg,-33.6650835518,-70.3562271113,Cordillera,Región Metropolitana de Santiago,Cistanthe grandiflora,Pata de guanaco
100716011,Eitel Carlos Thielemann Pinto,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/168124211/medium.jpg,-28.2172193,-71.0747915,Huasco,Atacama,Cistanthe grandiflora,Pata de guanaco
100716070,Eitel Carlos Thielemann Pinto,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/168124323/medium.jpg,-28.2172193,-71.0747915,Huasco,Atacama,Cistanthe grandiflora,Pata de guanaco
100813454,Pablo Moreno Vallejos,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/168308486/medium.jpeg,-32.5072071589,-71.4485013485,Petorca,Valparaíso,Cistanthe grandiflora,Pata de guanaco
101043065,Eitel Carlos Thielemann Pinto,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/168707283/medium.jpg,-32.1365410535,-71.5204871503,Petorca,Valparaíso,Cistanthe grandiflora,Pata de guanaco
101043335,Eitel Carlos Thielemann Pinto,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/168707367/medium.jpg,-32.2390412,-71.5177322,Petorca,Valparaíso,Cistanthe grandiflora,Pata de guanaco
101182575,Ivan Varas,,https://static.inaturalist.org/photos/168949160/medium.jpg,-34.1707283333,-71.0421055,Cachapoal,Libertador General Bernardo O'Higgins,Cistanthe grandiflora,Pata de guanaco
101204600,Benjamin Ignacio Hidalgo Saez,,https://static.inaturalist.org/photos/168981095/medium.jpeg,-33.536573214,-70.4791691154,Cordillera,Región Metropolitana de Santiago,Cistanthe grandiflora,Pata de guanaco
101204990,Benjamin Ignacio Hidalgo Saez,,https://static.inaturalist.org/photos/168981720/medium.jpeg,-33.536573214,-70.4791691154,Cordillera,Región Metropolitana de Santiago,Cistanthe grandiflora,Pata de guanaco
